sep=,
#,X(I),Y(X),Y'(X),Y1(X),Y1'(X),Y2(X),Y2'(X),Y3(X),Y3'(X),Y4(X),Y4'(X),Y5(X),Y5'(X),Y6(X),Y6'(X),
Model,"ARR_DATA(I)","Integral(7.18693417,7.15465797)","B+F*exp(-x*G)
B= 20847.4
F= -38880
G= 0.548422","Integral(7.10382577,7.07424938)","B+F*exp(-x*G)
B= 20668.7
F= -38490.3
G= 0.606957","Integral(3.63549587,3.58907979)","B+F*exp(-x*G)
B= 48064.4
F= -89174
G= 0.763322","Integral(2.40894838,2.37909760)","B+F*exp(-x*G)
B= 20944.5
F= -38963.5
G= 1.37439","Integral(1.82246512,1.74386484)","B+F*exp(-x*G)
B= 11058.5
F= -20116.2
G= 0.705359","Integral(1.34459757,1.30675118)","B+F*exp(-x*G)
B= 31583.8
F= -58252.6
G= 1.70871","Integral(0.85686530,0.81762004)","B+F*exp(-x*G)
B= 63333.8
F= -116032
G= 1.28156",
1,0.10000000,-16102.05059814,-15957.77134229,-15713.19714355,-15554.88255095,-34597.99853516,-34556.08556171,-12972.24792480,-13015.58172176,-7825.96875000,-7687.67907014,-17466.67614746,-17519.05925529,-38758.34820557,-38741.69451364,
2,0.25000000,-13059.23950195,-13051.24934453,-12404.79867554,-12402.63233444,-25659.12594604,-25617.66154608,-6706.59686279,-6688.94302982,-5775.52478027,-5805.58421191,-6449.33874512,-6417.10630392,-20852.47521973,-20890.04955466,
3,0.55000000,-7766.80049133,-7908.66839236,-6732.13023376,-6897.20678549,-10434.17146301,-10537.24645682,2590.63993835,2648.02276574,-2425.88980103,-2589.30381765,8731.60118103,8824.01271061,5986.94583130,5993.19366012,
4,1.10000000,-277.28134918,-420.89124398,1078.87770844,926.59728941,9604.26815033,9553.71566441,12315.37388611,12352.84848729,1842.12371063,1799.17166980,22741.67127991,22691.37232543,34936.70151520,34997.34685394,
5,2.30000000,9748.84037781,9833.99798259,11010.24998093,11139.06801065,32586.49940491,32655.43837761,19524.68088913,19293.29490196,6981.38595581,7086.76913431,30707.92015457,30439.59160166,57342.42167282,57246.08181033,
6,4.60000000,17531.91234207,17727.65064756,18086.75545883,18309.28745020,45252.16718292,45401.78896103,20960.68530655,20874.55301854,10115.99833298,10274.31909604,31635.01770020,31561.36427979,63094.36798096,63014.39825825,
7,9.20000000,20579.49760914,20597.03216160,20538.85828209,20524.04664705,47878.46700287,47984.90346283,20874.07466316,20944.40509701,11035.49186277,11027.92355707,31502.78974628,31583.83194107,63304.68303394,63332.91484022,
8,18.50000000,20904.81626415,20845.82962893,20728.20138168,20668.16138208,48107.88951111,48064.33994142,20874.39975452,20944.53077539,11103.48443270,11058.44904820,31502.96880531,31583.84061339,63309.27861023,63333.79401726,
9,29.50000000,20901.39506054,20847.35163060,20731.69885731,20668.67216383,48249.08490753,48064.40559685,20891.36121941,20944.53077575,11117.56818223,11058.49231866,31506.70957470,31583.84061339,63314.05082989,63333.79402312,
10,40.00000000,20899.54729080,20847.35527933,20725.26846313,20668.67280720,48090.92383575,48064.40561167,20889.82097626,20944.53077575,11112.38091612,11058.49233713,31502.86559010,31583.84061339,63275.94736910,63333.79402312,
