sep=,
#,X(I),Y(X),Y'(X),Y1(X),Y1'(X),Y2(X),Y2'(X),Y3(X),Y3'(X),Y4(X),Y4'(X),Y5(X),Y5'(X),Y6(X),Y6'(X),
Model,"ARR_DATA(I)","Integral(7.26560368,7.23132347)","B+F*exp(-x*G)
B= 194347
F= -362851
G= 0.358889","Integral(7.14617265,7.11376701)","B+F*exp(-x*G)
B= 192994
F= -361057
G= 0.381787","Integral(3.76174257,3.71399500)","B+F*exp(-x*G)
B= 97184.3
F= -180669
G= 0.390526","Integral(2.49338845,2.45823368)","B+F*exp(-x*G)
B= 195242
F= -363155
G= 0.768075","Integral(1.91551814,1.83511524)","B+F*exp(-x*G)
B= 97709.8
F= -179832
G= 0.439176","Integral(1.55226841,1.50467364)","B+F*exp(-x*G)
B= 296225
F= -546689
G= 1.24851","Integral(0.95691824,0.90138169)","B+F*exp(-x*G)
B= 599076
F= -1.10056e+06
G= 0.804527",
1,0.05000000,-162885.32421875,-162051.06574915,-162306.76904297,-161236.54185458,-80722.98242188,-79990.86640831,-153871.15039063,-154230.71633640,-79104.21533203,-78216.71631848,-216684.11230469,-217380.57063899,-458164.31494141,-458090.68526008,
2,0.11000000,-154924.75878906,-154458.65720112,-153773.73730469,-153214.34000972,-76314.50097656,-75887.63780718,-138198.97656250,-138490.91289733,-74199.25000000,-73641.49451670,-180093.16943359,-180311.91500962,-408792.75439453,-408271.63199912,
3,0.23000000,-139766.52441406,-139755.62179638,-137715.46069336,-137710.85487207,-67926.02246094,-67964.06190758,-109190.86352539,-109106.07998338,-64802.32373047,-64844.91217271,-114482.99267578,-114007.62845896,-315141.22802734,-315566.07038248,
4,0.46000000,-112673.04699707,-113284.81542128,-109142.05480957,-109909.81439179,-53136.02832031,-53776.96655193,-60301.97949219,-59822.09499047,-48382.22729492,-49227.22061627,-12551.29394531,-11611.21710623,-160680.29589844,-161055.62673315,
5,0.92000000,-65336.16775513,-66468.85126162,-59692.36019897,-61122.63507729,-27959.34997559,-28954.31364510,15407.57427979,16096.10685976,-21192.12274170,-22349.15572655,122369.14599609,122884.98316303,74055.75128174,74070.21784307,
6,1.85000000,8071.92471313,7545.29444160,15549.15032959,14825.15094755,9709.40231323,9460.57309293,107688.94854736,107544.69601802,18421.15740967,17907.77626930,243767.76101685,241945.52138749,350442.99966431,350636.40899379,
7,3.70000000,97173.97354126,98178.39435173,103652.86149597,105074.03215057,53605.19188690,54590.02847017,175717.66759491,174064.18950459,60838.09551239,62297.02991901,293242.78242493,290835.52769422,542746.55949402,542993.16264169,
8,7.40000000,167925.43084717,168858.77753016,170277.06639862,171584.72014373,86591.55509567,87142.30704335,194679.63197708,194006.96196545,89561.66191101,90736.28457749,295919.93860245,296171.63434679,595652.45101547,596217.73208204,
9,11.80000000,189287.26642227,189092.28171340,189341.27756500,189003.08492040,95679.00464249,95383.06723884,194466.02436447,195199.89924286,97117.97074032,96700.01193458,294862.12695313,296224.54257661,598987.45423889,598992.66446086,
10,16.00000000,193965.92560577,193182.96234818,193293.66148376,192190.83326658,97310.81246567,96834.95272350,194105.46950531,195240.29691511,98653.01436806,97550.15749266,294625.45129013,296224.75997017,599892.31007767,599072.76086375,
